date,modules,cnt
2020-02-25, DABC-RETAIL-SALES,1
2020-02-26, DABC-MARKETING-ECOMMERCE,1
2020-02-26, DABC-SQL-3,2
2020-02-26, DABC-TABLEAU-1,1
2020-02-27, DABC-CAREERS-JOBS,1
2020-02-27, DABC-PYTHON-1,1
2020-03-02, DABC-CAREERS-NETWORKING,1
2020-03-03, DABC-SQL-3,1
2020-03-04, DABC-SQL-1,1
2020-03-04, DABC-SQL-3,1
2020-03-04, DABC-TABLEAU-2,1
2020-03-05, DABC-WAY,1
2020-03-06, DABC-SQL-2,2
2020-03-07, DABC-PYTHON-2,1
2020-03-07, DAI-ORIENTATION,1
2020-03-10, DABC-PYTHON-3,2
2020-03-11, DABC-PYTHON-2,1
2020-03-11, DABC-SQL-EXAM,1
2020-03-11, DABC-STATS-EXCEL,1
2020-03-12, DABC-CAREERS-PROFESSIONAL-BRANDING,1
2020-03-13, DABC-STATS-EXCEL,1
2020-03-15, DABC-STATS-EXCEL,1
2020-03-17, DABC-MARKETING-ECOMMERCE,1
2020-03-18, DABC-PYTHON-2,1
2020-03-18, DABC-SQL-1,1
2020-03-19, DABC-MARKETING-ECOMMERCE,2
2020-03-19, DABC-SQL-1,1
2020-03-19, DABC-SQL-2,3
2020-03-19, DABC-SQL-3,1
2020-03-19, DABC-STATS-EXCEL,1
2020-03-20, DABC-RETAIL-SALES,1
2020-03-22, DABC-SQL-3,2
2020-03-22, DABC-STATS-EXCEL,3
2020-03-23, DABC-PYTHON-1,1
2020-03-23, DABC-PYTHON-3,1
2020-03-23, DABC-RETAIL-SALES,3
2020-03-23, DABC-SQL-3,1
2020-03-23, DABC-STATS-EXCEL,1
2020-03-24, DABC-PYTHON-2,1
2020-03-24, DABC-SQL-2,1
2020-03-24, DABC-SQL-3,1
2020-03-25, DABC-SQL-1,1
2020-03-27, DABC-SQL-3,1
2020-03-27, DABC-STATS-EXCEL,1
2020-03-27, DABC-TABLEAU-1,1
2020-03-30, DABC-STATS-EXCEL,1
2020-03-31, DABC-MARKETING-ECOMMERCE,1
2020-04-01, DABC-EXCEL-FOUNDATIONS-2,2
2020-04-02, DABC-STATS-EXCEL,1
2020-04-03, DABC-EXCEL-FOUNDATIONS-4,1
2020-04-03, DABC-WAY,1
2020-04-03, Excel,1
2020-04-04, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-04, DABC-ORIENTATION,1
2020-04-05, DABC-ACE-CASE,1
2020-04-06, DABC-EXCEL-FOUNDATIONS-1,2
2020-04-07, DABC-EXCEL-FOUNDATIONS-1,3
2020-04-07, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-07, DABC-MARKETING-ECOMMERCE,1
2020-04-07, DABC-SQL-3,1
2020-04-07, DABC-STATS-EXCEL,1
2020-04-08, DABC-EXCEL-FOUNDATIONS-1,1
2020-04-08, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-08, DABC-STATS-EXCEL,1
2020-04-09, DABC-EXCEL-FOUNDATIONS-2,7
2020-04-09, DABC-TABLEAU-2,1
2020-04-10, DABC-EXCEL-FOUNDATIONS-2,2
2020-04-10, DABC-SQL-3,1
2020-04-12, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-12, DABC-ORIENTATION,2
2020-04-12, DABC-WAY,1
2020-04-13, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-13, DABC-EXCEL-FOUNDATIONS-3,1
2020-04-13, DABC-PYTHON-2,1
2020-04-13, DABC-PYTHON-3,1
2020-04-13, revisions history in Colab]  User-submitted feedback ,1
2020-04-14, DABC-EXCEL-FOUNDATIONS-1,1
2020-04-14, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-14, DABC-EXCEL-FOUNDATIONS-3,1
2020-04-14, DABC-STATS-EXCEL,2
2020-04-16, DABC-EXCEL-FOUNDATIONS-1,2
2020-04-16, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-16, DABC-MARKETING-ECOMMERCE,1
2020-04-16, DABC-PYTHON-1,3
2020-04-16, DABC-STATS-EXCEL,1
2020-04-16, DABC-TABLEAU-1,1
2020-04-17, DABC-EXCEL-FOUNDATIONS-4,2
2020-04-19, DABC-PYTHON-3,1
2020-04-19, DABC-RETAIL-SALES,1
2020-04-20, DABC-EXCEL-FOUNDATIONS-1,1
2020-04-20, DABC-EXCEL-FOUNDATIONS-3,3
2020-04-21, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-21, DABC-PYTHON-1,2
2020-04-22, DABC-EXCEL-FOUNDATIONS-2,1
